"#ActorsLife"	New York City, New York, USA
"#Fuga"	Barra da Tijuca, Rio de Janeiro, Rio de Janeiro, Brazil
"#KillTorrey"	Burbank, California, USA
"#LoveMyRoomie"	New York, USA
"#LoveMyRoomie"	Brooklyn, New York, USA
"#MyCurrentSituation:	Atlanta Georgia, USA
"#MyCurrentSituation:	Memphis, Tennessee, USA
"#SmurTv"	Roanoke, Virginia, USA
"#SmurTv"	Charlotte, North Carolina, USA
"#SmurTv"	Atlanta, Georgia, USA
"#SpongeyLeaks"	Northridge, California, USA
"#SpongeyLeaks"	Northridge, California, USA
"#VanLifeAttila"	Canada
"#VanLifeAttila"	California, USA
"#VanLifeAttila"	Europe
"#VanLifeAttila"	Wells, British Columbia, Canada
"#VanLifeAttila"	Barkerville Highway
"#VanLifeAttila"	Wells, British Columbia, Canada
"#VanLifeAttila"	Barkerville Highway
"#VanLifeAttila"	Burnaby, British Columbia, Canada
"#VanLifeAttila"	Coquitlam, British Columbia, Canada
"#VanLifeAttila"	Wells, British Columbia, Canada
"#VanLifeAttila"	Quesnel, British Columbia, Canada
"#VanLifeAttila"	Barkerville, British Columbia, Canada
"#VanLifeAttila"	Vancouver, British Columbia, Canada
"#VanLifeAttila"	Vancouver, British Columbia, Canada
"#VanLifeAttila"	Wells, British Columbia, Canada
"#VanLifeAttila"	Wells, British Columbia, Canada
"#VanLifeAttila"	Barkerville, British Columbia, Canada
"#VanLifeAttila"	North Vancouver, British Columbia, Canada
"#VanLifeAttila"	North Vancouver, British Columbia, Canada
"#VanLifeAttila"	North Vancouver, British Columbia, Canada
"#VanLifeAttila"	Vancouver, British Columbia, Canada
"#VanLifeAttila"	Wells, British Columbia, Canada
"#VanLifeAttila"	Barkerville, British Columbia, Canada
"#VanLifeAttila"	Quesnel, British Columbia, Canada
"#VanLifeAttila"	Kelowna, British Columbia, Canada
"#VanLifeAttila"	Wells, British Columbia, Canada
"#VanLifeAttila"	Coquitlam, British Columbia, Canada
"#VanLifeAttila"	Coquitlam, British Columbia, Canada
"#VanLifeAttila"	Wells, British Columbia, Canada
"#VanLifeAttila"	Wells, British Columbia, Canada
